先: 舌[先]三寸 [先]祖代々 [先]手必勝 ;; 2100
地: 失[地]回復 天[地]無用 天変[地]異 ;; 0210
改: 自動[改]札 朝令暮[改] 品種[改]良 ;; 0021
工: 士農[工]商 創意[工]夫 突貫[工]事 ;; 0030
暴: 自[暴]自棄 [暴]飲[暴]食 [暴]力反対 ;; 2110
交: 社[交]辞令 世代[交]代 物々[交]換 ;; 0120
在: 自由自[在] 潜[在]能力 変幻自[在] ;; 0102
主: [主]客転倒 三日坊[主] 民[主][主]義 ;; 1111
尾: 首[尾]一貫 徹頭徹[尾] 竜頭蛇[尾] ;; 0102
貫: 首尾一[貫] 初志[貫]徹 突[貫]工事 ;; 0111
可: 純情[可]憐 不[可]抗力 不[可]思議 ;; 0210
真: 正[真]正銘 [真]剣勝負 天[真]爛漫 ;; 1200
出: 神[出]鬼没 門外不[出] 立身[出]世 ;; 0111
未: 前人[未]踏 前代[未]聞 [未]来永劫 ;; 1020
化: 千変万[化] 文明開[化] 妖怪変[化] ;; 0003
夜: 千[夜]一[夜] 百鬼[夜]行 連日連[夜] ;; 0112
義: 大[義]名分 民主主[義] [義]理人情 ;; 1101
敵: 大胆不[敵] [敵]前逃亡 油断大[敵] ;; 1002
本: 他力[本]願 [本]家[本]元 [本]末転倒 ;; 2020
半: 中途[半]端 [半]死[半]生 [半]信[半]疑 ;; 2030
突: 猪[突]猛進 [突]貫工事 [突]然変異 ;; 2100
適: [適]材[適]所 [適]者生存 悠々自[適] ;; 2011
頭: 徹[頭]徹尾 平身低[頭] 竜[頭]蛇尾 ;; 0201
平: 天下泰[平] 不[平]不満 [平]身低頭 ;; 1101
独: [独]断専行 [独]立[独]歩 唯我[独]尊 ;; 2020
歩: 独立独[歩] 日進月[歩] 横断[歩]道 ;; 0012
文: 二束三[文] [文]武両道 [文]明開化 ;; 2001
良: 野[良]仕事 品種改[良] 不[良]債権 ;; 0201
美: 八方[美]人 [美]辞麗句 [美]人薄命 ;; 2010
麗: 美辞[麗]句 眉目秀[麗] 容姿端[麗] ;; 0012
連: [連]日[連]夜 [連]戦[連]勝 [連]鎖反応 ;; 3020
全: 安[全]第一 完[全]無欠 [全]身[全]霊 [全]知[全]能 ;; 2220
念: 一[念]発起 強迫観[念] 固定観[念] 残[念]無[念] ;; 0203
喜: 一[喜]一憂 [喜]色満面 [喜]怒哀楽 狂[喜]乱舞 ;; 2200
入: 一球[入]魂 四捨五[入] 単刀直[入] 臨時収[入] ;; 0013
挙: 一[挙]一動 一[挙]両得 [挙]動不審 軽[挙]妄動 ;; 1300
両: 一挙[両]得 一刀[両]断 賛否[両]論 文武[両]道 ;; 0040
進: 一[進]一退 新[進]気鋭 猪突猛[進] 日[進]月歩 ;; 0301
応: 因果[応]報 身分相[応] 臨機[応]変 連鎖反[応] ;; 0022
山: 海千[山]千 [山]海珍味 風林火[山] 物見遊[山] ;; 1012
死: 起[死]回生 [死]屍累々 半[死]半生 不老不[死] ;; 1201
鬼: [鬼]子母神 疑心暗[鬼] 神出[鬼]没 百[鬼]夜行 ;; 1111
神: 鬼子母[神] [神]経衰弱 [神]出鬼没 精[神]統一 ;; 2101
状: 禁断症[状] 現[状]維持 情[状]酌量 飽和[状]態 ;; 0211
空: [空]前絶後 [空]中楼閣 色即是[空] [空]中分解 ;; 3001
絶: 空前[絶]後 精力[絶]倫 [絶]体[絶]命 抱腹[絶]倒 ;; 1040
権: [権]謀術数 職[権]濫用 不良債[権] 三[権]分立 ;; 1201
道: 極悪非[道] 言語[道]断 文武両[道] 横断歩[道] ;; 0013
倒: 七転八[倒] 主客転[倒] 抱腹絶[倒] 本末転[倒] ;; 0004
食: 弱肉強[食] 暴飲暴[食] 無芸大[食] 焼肉定[食] ;; 0004
思: [思]慮分別 相[思]相愛 中華[思]想 不可[思]議 ;; 1120
