* 三字熟語Flash 使用漢字別一覧

三字熟語Flash(http://www.gamedesign.jp/flash/sanjuku/sanjuku.html)
全1190語。使用漢字1106字。

----

庫: 格納庫 文庫本 冷凍庫 冷蔵庫
見: 風見鶏 後見人 再発見 目論見
片: 片田舎 片仮名 片手間 断片的
断: 活断層 断末魔 決断力 断片的
勝: 勝手口 景勝地 勝負師 不戦勝
歌: 歌舞伎 歌謡曲 賛美歌 鎮魂歌
保: 過保護 保険証 保護者 保護色
雪: 紙吹雪 桜吹雪 雪化粧 雪達磨
士: 看護士 騎士道 弁護士 代議士
古: 閑古鳥 考古学 古典的 中古車
情: 感情的 事情通 発情期 無表情
規: 規格外 規則的 大規模 不規則
支: 気管支 支持者 支配者 十二支
船: 飛行船 難破船 屋形船 遊覧船
上: 上機嫌 下克上 最上階 上出来
売: 売春婦 客商売 商売敵 水商売
春: 売春婦 思春期 春爛漫 春一番
商: 客商売 商売敵 水商売 露天商
入: 逆輸入 先入観 入道雲 副収入
主: 救世主 主治医 主人公 丸坊主
界: 境界線 銀世界 社交界 別世界
似: 近似値 類似品 猿真似 似顔絵
景: 景勝地 好景気 殺風景 不景気
土: 土下座 手土産 土壇場 風土記
決: 決断力 決定的 決定版 多数決
定: 決定的 決定版 指定席 不安定
都: 首都圏 好都合 副都心 不都合
差: 交差点 個人差 偏差値 無差別
量: 降水量 致死量 排気量 量販店
通: 交通費 事情通 神通力 通信簿
別: 告別式 別世界 別天地 無差別
児: 孤児院 小児科 新生児 双生児
石: 金剛石 試金石 大理石 誕生石
限: 最小限 最低限 無限大 無制限
箱: 賽銭箱 私書箱 玉手箱 貯金箱
識: 再認識 自意識 常識的 無意識
王: 三冠王 四天王 女王蜂 天王山
団: 自警団 地団駄 大団円 暴力団
導: 指導者 導火線 半導体 盲導犬
望: 望遠鏡 潜望鏡 太公望 展望台
精: 受精卵 出無精 無精髭 筆無精
権: 所有権 選手権 著作権 黙秘権
図: 心電図 設計図 図書館 野放図
眼: 双眼鏡 方眼紙 虫眼鏡 老眼鏡
総: 総攻撃 総選挙 総動員 総本山
多: 大多数 多趣味 多数決 多目的
足: 寝不足 偏平足 無駄足 役不足
夢: 白昼夢 夢遊病 夢心地 夢物語
副: 副作用 副産物 副収入 副都心
愛: 愛好家 愛読書 同性愛 無愛想 愛弟子
言: 合言葉 一家言 伝言板 花言葉 遺言状
犬: 秋田犬 狂犬病 警察犬 野良犬 盲導犬
細: 亜細亜 小細工 単細胞 不細工 明細書
値: 値千金 価値観 近似値 血糖値 偏差値
末: 後始末 断末魔 始末書 世紀末 不始末
街: 暗黒街 街路樹 住宅街 歓楽街 繁華街
格: 人格者 格納庫 規格外 背格好 本格的
遺: 遺失物 遺伝子 遺留品 後遺症 遺言状
食: 衣食住 飲食店 機内食 食中毒 食道楽
判: 裁判所 裁判官 三文判 直談判 太鼓判
落: 一段落 落武者 自堕落 駄洒落 落花生
留: 遺留品 居留守 停留所 留置場 留守番
守: 居留守 守護神 守銭奴 天守閣 留守番
極: 積極的 消極的 太極拳 極彩色 両極端
店: 飲食店 喫茶店 代理店 百貨店 量販店
時: 腕時計 歳時記 時刻表 日時計 不時着
熱: 熱帯魚 光熱費 熱気球 熱射病 熱帯夜
遠: 遠距離 遠近法 遠心力 望遠鏡 無遠慮
近: 遠近法 近似値 近代的 近未来 親近感
長: 延長戦 幹事長 長丁場 八百長 霊長類
戦: 延長戦 好戦的 前哨戦 戦利品 不戦勝
舞: 円舞曲 歌舞伎 獅子舞 桧舞台 舞台裏
接: 応接室 間接的 接客業 接骨院 接着剤
御: 大御所 御手洗 御三家 御馳走 御法度
親: 親孝行 親不孝 親馬鹿 親衛隊 親近感
音: 味音痴 軽音楽 重低音 五十音 超音波
度: 温度計 加速度 御法度 知名度 分度器
馬: 親馬鹿 下馬評 走馬灯 対抗馬 馬鈴薯
交: 外交官 交響曲 交差点 交通費 社交界
国: 外国語 共和国 三国志 先進国 万国旗
板: 回覧板 看板娘 掲示板 伝言板 羽子板
園: 学園祭 果樹園 動物園 遊園地 幼稚園
角: 角砂糖 角質層 三角形 四角形 対角線
飛: 飛行機 飛行船 飛行場 高飛車 飛距離
